ts,ax,ay,az,rvx,rvy,rvz,pr1,pr2,pr3,pr4,pr5,pr6,tmp
2465,0,0.01,0.99,-7.32,-6.57,0.33,204,1012,163,279,359,899,76.21
2500,0,0,0.98,-7.07,-6.35,0.48,204,1011,162,279,358,899,76.21
2523,0,0,0.99,-7.25,-6.64,0.32,204,1011,162,278,357,898,76.1
2546,0,0,0.98,-7.32,-6.43,0.33,204,1011,162,278,357,898,76.21
2569,0,0,0.99,-7.08,-6.43,0.42,204,1011,162,278,356,898,76.21
2593,0,0,0.98,-7.36,-6.35,0.48,204,1011,161,278,356,897,76.21
2616,0,0,0.98,-7.54,-6.49,0.6,204,1010,161,277,355,897,76.21
2644,0,0.01,0.99,-7.8,-6.43,0.44,204,1010,161,277,355,896,76.1
2667,0,0,0.98,-7.76,-6.57,0.29,204,1010,160,276,354,896,76.1
2690,0.01,0,0.98,-8.02,-6.43,0.42,204,1010,160,276,353,896,76.21
2713,0,0,0.99,-7.8,-6.5,0.44,204,1009,159,275,352,896,76.1
2736,0,0,0.98,-7.74,-6.71,0.37,204,1009,159,275,351,895,76.1
2759,0,0,0.98,-7.8,-6.43,0.44,204,1009,158,274,351,895,76.21
2783,0.01,0,0.98,-7.54,-6.35,0.59,204,1009,158,274,350,895,76.1
2810,0,0,0.99,-7.7,-6.63,0.57,204,1009,158,273,349,895,76.21
2834,0,0,0.98,-7.73,-6.36,0.42,204,1009,158,274,349,895,76.21
2857,0.01,0,0.98,-7.54,-6.21,0.59,204,1009,158,273,349,895,76.1
2891,0,0,0.98,-7.12,-6.42,0.57,204,1008,158,273,348,895,76.1
2914,0,0,0.98,-7.2,-6.49,0.52,204,1008,157,273,347,895,76.1
2938,0,0,0.98,-7.54,-6.29,0.3,203,1008,157,273,348,895,76.1
2961,0.01,0,0.98,-7.59,-6.5,0.39,203,1008,157,273,348,895,76.21
2994,0,0,0.98,-7.2,-6.28,0.51,203,1008,157,274,348,895,76.21
3022,0,0,0.98,-7.34,-6.42,0.55,203,1008,158,274,348,895,76.44
3045,0.01,0,0.98,-7.24,-6,0.65,203,1008,157,274,348,896,76.21
3068,0.01,0,0.98,-7.27,-6.28,0.53,203,1008,157,274,348,896,76.32
3091,0,0,0.98,-6.9,-6.07,0.57,203,1008,158,274,348,895,76.32
3114,0,-0.01,0.99,-6.83,-6.14,0.56,203,1008,157,274,348,895,76.1
3138,0.01,0,0.98,-6.78,-6.41,0.78,203,1008,157,274,348,895,76.21
3161,0.01,0,0.98,-6.63,-6.27,0.81,203,1008,157,274,348,896,76.32
3189,0.01,0,0.98,-6.7,-6.27,0.83,203,1008,158,274,348,895,76.21
3212,0,0,0.98,-6.61,-5.93,0.57,203,1008,158,274,348,895,75.99
3235,0.01,0,0.98,-6.58,-6.06,0.72,203,1008,157,274,348,895,76.21
3258,0,0,0.99,-6.63,-6.07,0.51,203,1008,158,274,348,895,76.32
3281,0,0,0.98,-6.63,-6.2,0.81,203,1008,158,274,348,895,76.32
3316,0,0,0.99,-6.8,-6.27,0.7,203,1008,158,274,348,895,76.32
3339,0,0,0.99,-6.71,-6.36,0.47,203,1008,158,274,348,895,76.21
3367,0.01,0,0.98,-6.98,-6.35,0.53,203,1008,158,274,348,895,76.1
3390,0,0,0.98,-6.76,-6.29,0.26,203,1008,158,274,348,895,76.1
3413,0,0,0.98,-6.98,-6.14,0.53,203,1008,158,274,348,895,76.21
3436,0,0,0.98,-6.93,-6.22,0.44,203,1008,158,274,348,895,76.32
3460,0,0,0.99,-7.02,-6.35,0.69,203,1008,158,274,348,895,76.21
3494,0.01,0,0.98,-7.12,-6.42,0.57,203,1008,157,273,347,895,76.21
3517,0.01,0.01,0.99,-6.79,-6.29,0.42,203,1008,157,273,347,895,76.21
3545,0,0,0.98,-6.92,-6.35,0.52,203,1007,157,273,347,895,76.21
3568,0.01,0,0.98,-7.07,-6.28,0.48,203,1008,157,272,346,895,76.21
3591,0.02,0,0.98,-7.27,-6.21,0.52,203,1008,157,272,346,895,76.32
3614,0.02,0,0.98,-7.32,-6.14,0.6,203,1008,157,272,346,895,76.21
3637,0.01,0,0.98,-7.29,-5.99,0.73,203,1008,156,272,345,895,76.32
3660,0.01,0,0.98,-7.05,-6.07,0.54,203,1008,157,272,345,895,76.21
3684,0.01,0,0.98,-7.02,-6.28,0.68,203,1008,156,271,345,895,76.32
3723,0.01,0,0.98,-7.14,-5.92,0.77,203,1007,156,271,345,895,76.44
3746,0,0,0.98,-6.95,-6,0.66,203,1008,156,271,345,895,76.32
3769,0.01,0,0.98,-7.12,-6.14,0.56,203,1008,157,271,345,895,76.32
3792,0.01,0,0.98,-7.2,-5.93,0.49,203,1007,157,272,345,895,76.32
3816,0,0,0.98,-7.2,-6.07,0.5,203,1007,157,272,345,895,76.32
3839,0.01,0,0.98,-7.31,-6.14,0.67,203,1008,157,272,345,895,76.32
3862,0,0,0.99,-7.24,-6.22,0.37,203,1008,157,272,345,895,76.32
3885,0.01,0,0.98,-7.2,-6.35,0.51,203,1008,157,272,345,893,76.44
3913,0.01,0,0.98,-7.2,-6.49,0.52,203,1008,157,272,345,893,76.1
3936,0.01,0.01,0.99,-7.24,-6.63,0.68,203,1008,157,272,345,893,76.32
3959,0.01,0.01,0.98,-7.36,-6.62,0.78,203,1007,157,272,345,893,76.32
3983,0.01,0,0.98,-7.27,-6.35,0.53,203,1007,157,272,345,893,76.32
4016,0.01,0,0.98,-7.37,-6.15,0.4,203,1007,157,272,345,894,76.44
4039,0.01,0,0.98,-7.71,-6.49,0.49,203,1007,157,272,344,894,76.32
4062,0,0.01,0.99,-7.44,-6.5,0.43,203,1008,156,272,344,894,76.32
4090,0,0,0.99,-7.42,-6.79,0.22,203,1008,156,271,343,894,76.32
4113,0,0,0.99,-7.32,-6.92,0.35,203,1008,156,271,342,894,76.44
4148,0,0.01,0.99,-7.32,-7.97,0.4,203,1008,155,270,341,895,76.44
4171,-0.01,0,0.99,-7.6,-8.33,0.12,203,1008,155,270,340,895,76.32
4194,0,0,0.99,-7.51,-8.76,-0.09,203,1008,154,270,340,896,76.32
4217,0,0,0.99,-7.55,-9.46,0.08,203,1007,154,270,339,897,76.44
4240,0,0,0.99,-7.32,-9.89,-0.16,203,1007,153,269,339,898,76.44
4268,0,0,0.99,-7.19,-10.8,-0.15,203,1008,153,269,338,898,76.44
4291,0,0,1,-7.3,-11.3,-0.32,203,1008,152,269,337,898,76.44
4315,0,0,0.99,-7.35,-12,-0.49,203,1007,152,268,337,898,76.44
4338,-0.01,0.01,1,-7.62,-12.71,-0.68,203,1008,152,268,336,899,76.32
4361,0,0.01,1,-7.58,-13.21,-0.81,203,1007,151,268,336,900,76.21
4384,0,0.01,0.99,-7.93,-13.92,-1.06,203,1008,151,268,336,903,76.32
4408,0.02,0,0.98,-7.83,-14.21,-1.21,203,1008,151,269,337,903,76.44
4435,0.05,0,0.97,-7.77,-14.13,-0.95,203,1008,152,269,338,903,76.32
4459,0.06,0,0.97,-7.38,-13.77,-0.84,204,1007,152,270,339,904,76.32
4493,0.09,0,0.96,-7.06,-12.72,-0.74,204,1007,152,271,340,907,76.1
4516,0.08,0,0.97,-6.64,-12.77,-0.48,204,1007,152,271,342,909,76.21
4539,0.07,-0.02,0.97,-6.13,-12.07,-0.48,204,1008,153,272,344,911,76.32
4574,0.07,-0.03,0.98,-5.43,-11.45,-0.6,204,1009,153,273,347,917,76.21
4597,0.07,-0.02,0.97,-4.64,-11.29,-0.29,204,1008,153,273,348,923,76.55
4625,0.07,0,0.97,-3.87,-10.67,-0.42,204,1008,154,274,349,925,76.32
4648,0.07,0,0.97,-3.9,-10.54,-0.56,204,1009,154,275,350,926,76.32
4671,0.08,0,0.98,-3.56,-10.54,-0.64,204,1009,155,275,351,926,76.32
4694,0.08,0,0.97,-3.45,-9.82,-0.2,205,1009,155,276,353,926,76.32
4718,0.11,0,0.97,-3.29,-9.55,-0.46,205,1009,155,277,354,929,76.44
4741,0.09,0,0.97,-3.07,-9.62,-0.44,205,1010,156,277,355,929,76.44
4764,0.09,-0.01,0.96,-2.58,-8.78,-0.52,205,1010,156,277,355,927,76.21
4792,0.08,0,0.98,-2.48,-8.44,-0.7,205,1010,156,277,355,929,76.44
4815,0.08,0,0.98,-2.21,-8.01,-0.49,205,1010,156,277,356,930,76.44
4838,0.09,0.01,0.97,-2.06,-7.8,-0.47,205,1010,156,277,357,934,76.44
4861,0.09,0.02,0.97,-2,-7.31,-0.57,205,1010,156,277,357,934,76.32
4885,0.1,0.02,0.97,-2.11,-6.89,-0.42,205,1010,157,277,356,935,76.44
4908,0.08,0.03,0.98,-2.01,-6.81,-0.31,205,1009,157,276,357,934,76.21
4931,0.07,0.03,0.98,-2.42,-6.53,-0.22,205,1009,157,276,357,930,76.44
4959,0,0.03,0.98,-2.81,-6.59,-0.05,205,1010,157,276,358,930,76.32
4993,0.08,0.03,0.98,-3.18,-6.45,-0.12,205,1010,159,277,360,932,76.32
5016,0.08,0.04,0.97,-3.78,-6.3,0.08,206,1011,160,277,360,929,76.44
5050,0.07,0.03,0.98,-4.06,-6.65,0.16,206,1010,160,277,360,930,76.44
5073,0.06,0.03,0.98,-4.56,-6.52,-0.16,206,1011,160,277,360,931,76.44
5096,0.06,0.03,0.98,-4.52,-6.67,-0.31,206,1010,160,277,360,932,76.21
5119,0.07,0.03,0.98,-4.58,-6.39,-0.24,206,1010,160,277,360,932,76.32
5147,0.07,0.03,0.98,-4.7,-6.72,0.17,206,1010,160,277,361,931,76.44
5170,0.08,0.02,0.98,-4.72,-6.72,0.1,206,1011,160,277,361,932,76.44
5193,0,0.03,0.98,-4.62,-6.35,0.49,206,1011,161,277,363,931,76.44
5217,0.1,0.03,0.97,-4.62,-5.79,0.47,207,1012,163,278,365,929,76.44
5240,0.11,0.04,0.96,-4.69,-5.51,0.47,207,1012,164,279,367,928,76.32
5263,0.11,0.04,0.97,-5.1,-4.88,0.54,207,1013,166,280,369,928,76.44
5286,0.08,0.04,0.98,-5.51,-5.07,0.93,207,1014,167,281,372,927,76.32
5314,0.08,0.04,0.98,-5.65,-4.46,0.64,208,1018,170,284,378,927,76.21
5337,0.08,0.03,0.98,-5.89,-4.45,0.84,208,1019,173,286,384,926,76.44
5360,0.07,0.03,0.98,-6.05,-4.52,0.74,208,1019,176,288,391,926,76.44
5384,0.06,0.05,0.98,-6.04,-4.45,0.81,209,1022,179,291,397,926,76.44
5418,0.07,0.04,0.98,-6.48,-4.45,0.76,209,1023,184,294,406,925,76.44
5441,0.07,0.05,0.98,-6.72,-4.38,0.67,209,1023,187,296,411,924,76.32
5465,0.07,0.05,0.98,-6.93,-4.44,1.01,209,1023,191,299,417,924,76.32
5499,0.07,0,0.97,-7.18,-4.71,1.15,210,1023,195,303,425,924,76.44
5527,0.06,0.03,0.98,-7.14,-4.77,1.36,210,1023,198,306,431,924,76.44
5550,0.06,0.03,0.98,-7.14,-4.83,1.65,210,1023,200,308,434,924,76.32
5573,0.06,0,0.98,-6.64,-4.78,1.32,210,1023,202,311,438,924,76.21
5596,0.05,0.03,0.98,-6.62,-4.9,1.75,211,1023,204,313,440,924,76.32
5619,0.05,0.03,0.98,-6.47,-4.77,1.42,211,1023,205,314,443,923,76.32
5642,0.06,0.03,0.97,-6.07,-4.63,1.32,211,1022,206,315,444,922,76.1
5666,0.06,0.03,0.98,-6.13,-4.77,1.35,211,1022,207,317,445,922,76.32
5694,0.06,0.04,0.98,-6.52,-4.85,1.22,211,1022,207,317,444,922,76.32
5717,0.07,0.04,0.98,-6.58,-4.51,0.93,211,1022,207,316,443,922,76.32
5740,0.06,0.04,0.98,-6.88,-4.88,0.59,211,1023,206,316,442,921,76.1
5763,0.06,-0.07,0.98,-7.08,-4.89,0.35,211,1022,205,315,441,921,76.32
5786,0,0.04,0.98,-7.04,-4.98,0,211,1023,204,315,440,921,76.32
5810,0.06,0.04,0.97,-7.5,-5.05,-0.2,211,1023,204,314,438,920,76.55
5844,0.05,0.03,0.99,-7.57,-5.46,0.13,211,1023,203,313,436,919,76.32
5872,0.05,0.03,0.98,-7.62,-5.53,0.21,211,1023,202,312,435,919,76.32
5895,0.05,0.03,0.98,-7.69,-5.67,0.24,211,1023,202,312,435,920,76.32
5918,0.06,0.03,0.98,-7.71,-6,0.47,211,1023,202,312,435,921,76.32
5942,0.05,0.03,0.98,-7.48,-6.14,0.57,211,1022,202,312,435,921,76.44
5965,0.05,0.03,0.99,-7.61,-6.21,0.6,211,1022,202,312,436,922,76.44
5988,0,0.03,0.99,-7.53,-6.54,0.96,211,1022,202,313,437,922,76.44
6011,0.05,0.03,0.98,-7.56,-6.77,0.54,211,1022,203,314,439,923,76.44
6039,0.06,0.03,0.98,-7.75,-6.68,0.94,211,1022,204,315,440,926,76.32
6072,0.06,0.03,0.98,-7.85,-6.69,0.82,211,1022,205,317,443,925,76.44
6095,0.06,0.03,0.98,-7.92,-6.41,0.83,211,1022,205,318,444,926,76.21
6118,0.06,0.03,0.97,-8.11,-6.56,0.66,211,1022,205,318,444,925,76.44
6142,0.06,0.03,0.99,-8.11,-6.63,0.66,211,1022,205,318,445,925,76.44
6165,0,0.03,0.98,-7.93,-6.43,0.47,211,1022,205,318,444,925,76.44
6188,0,0.03,0.98,-7.96,-6.29,0.33,211,1022,205,318,444,925,76.32
6216,0.07,0.03,0.98,-7.84,-6.3,0.23,211,1022,203,316,442,926,76.32
6239,0.05,0.02,0.99,-7.71,-6.63,0.5,211,1023,202,315,440,926,76.44
6274,0.03,0.03,0.99,-7.72,-6.86,0.15,211,1023,201,313,438,926,76.44
6297,0.05,0.03,0.98,-7.63,-6.8,-0.08,210,1023,201,312,437,926,76.44
6320,0.06,0.03,0.98,-7.63,-7.15,0,210,1023,200,311,435,925,76.44
6343,0.05,0,0.98,-7.5,-7.36,-0.09,210,1023,199,309,432,925,76.32
6367,0,0.03,0.98,-7.41,-7.51,-0.32,210,1023,197,307,431,925,76.21
6390,0.05,0.02,0.98,-7.29,-7.8,-0.41,210,1023,195,305,427,922,76.44
6418,0.06,0.02,0.98,-7.05,-8.09,-0.59,209,1023,193,302,423,923,76.55
6441,0.07,0.02,0.98,-6.9,-7.86,-0.28,209,1022,192,300,421,923,76.44
6464,0.08,0.02,0.98,-6.73,-7.87,-0.46,209,1022,191,298,418,924,76.32
6514,0.06,0.03,0.98,-6.68,-7.93,-0.26,209,1020,188,295,412,920,76.55
6538,0.07,0.03,0.98,-6.59,-7.87,-0.49,209,1019,187,294,410,920,76.32
6561,0.07,0.03,0.98,-6.73,-7.87,-0.46,209,1019,187,293,408,919,76.44
6584,0.08,0.03,0.98,-6.51,-7.73,-0.45,209,1019,186,292,406,918,76.32
6612,0.08,0.03,0.97,-6.51,-7.45,-0.46,209,1018,185,291,405,917,76.44
6635,0.08,0.03,0.97,-6.47,-7.09,-0.34,209,1018,185,290,404,917,76.44
6658,0.08,0.03,0.98,-6.61,-7.37,-0.3,208,1017,184,289,402,916,76.32
6682,0.07,0.03,0.98,-6.51,-7.3,-0.18,209,1017,184,288,401,917,76.44
6716,0.07,0.03,0.98,-7.03,-7.28,0.08,208,1017,183,288,400,918,76.55
6739,0.08,0.03,0.98,-6.91,-7,0.26,208,1017,183,288,399,918,76.44
6763,0.08,0.03,0.98,-7.19,-7.33,0.63,208,1017,183,288,399,918,76.44
6791,0.08,0.04,0.97,-7.03,-6.64,0.34,208,1018,183,288,398,918,76.44
6814,0.09,0.03,0.97,-7.48,-6.7,0.59,208,1018,183,288,398,918,76.32
6837,0.08,0.03,0.98,-7.53,-6.63,0.67,208,1018,183,288,398,918,76.32
6860,0,0.03,0.97,-7.92,-6.56,0.54,208,1018,183,288,398,920,76.55
6883,0.09,0.03,0.97,-7.82,-6.21,0.65,208,1018,183,288,398,920,76.44
6907,0.09,0.03,0.98,-8.12,-6.21,0.58,208,1018,183,288,398,921,76.44
6930,0.07,0.03,0.98,-7.97,-6.14,0.61,208,1018,182,288,397,922,76.32
6958,0.08,0.02,0.98,-7.61,-5.73,0.29,208,1017,182,287,397,921,76.55
6981,0,0.02,0.98,-7.44,-5.87,0.4,208,1017,182,287,396,922,76.44
7004,0,0,0.98,-7.25,-5.94,0.29,208,1017,181,287,396,922,76.32
7027,0,0.01,0.98,-7.06,-5.85,0.82,208,1017,181,287,396,922,76.44
7050,0,0.02,0.98,-6.82,-5.93,0.62,208,1017,181,287,395,924,76.21
7074,0.07,0.03,0.98,-6.53,-6,0.63,208,1017,181,287,395,924,76.44
7107,0.07,0.03,0.98,-6.63,-6.27,0.81,208,1018,182,287,396,924,76.44
7158,0.08,0.03,0.98,-6.55,-6.06,0.85,208,1019,183,289,397,924,76.55
7181,0.08,0.03,0.98,-6.75,-6.34,0.91,208,1019,184,289,399,924,76.21
7205,0.08,0.03,0.97,-7.17,-6.39,1.3,208,1019,184,291,400,924,76.44
7228,0.08,0.03,0.97,-6.86,-6.26,1.08,208,1020,184,291,400,924,76.32
7251,0.07,0.03,0.98,-6.7,-6.06,0.82,208,1020,184,291,400,925,76.55
7274,0.08,0.02,0.98,-6.68,-5.85,0.87,208,1020,184,291,400,925,76.55
7297,0.08,0.02,0.98,-6.09,-5.7,0.95,208,1020,184,291,399,926,76.32
7325,0.08,0.02,0.98,-6.04,-6.2,0.88,208,1019,183,290,399,925,76.44
7348,0.07,0.02,0.98,-5.78,-6.27,0.76,208,1019,183,291,399,925,76.44
7372,0.08,0.02,0.97,-5.58,-5.98,0.99,208,1019,183,290,399,926,76.44
7395,0.09,0.02,0.97,-4.97,-6.34,0.86,208,1019,183,290,399,925,76.32
7418,0.08,0,0.98,-4.87,-6.19,0.97,208,1019,183,291,398,925,76.55
7441,0.09,0.02,0.97,-4.63,-6.12,1.06,208,1019,183,291,399,926,76.55
7465,0.09,0.02,0.97,-4.32,-6.2,0.85,208,1019,183,290,398,926,76.44
7488,0.08,0.03,0.97,-3.86,-5.58,0.64,208,1019,182,290,397,924,76.32
7527,0.09,0.04,0.97,-3.67,-4.97,0.21,208,1015,179,287,394,922,76.44
7561,0.08,0.06,0.97,-3.66,-4.7,-0.09,208,1012,175,282,386,918,76.55
7584,0.08,0.07,0.98,-4.22,-4.5,-0.33,207,1013,170,277,379,915,76.55
7607,0.08,0.06,0.97,-4.85,-4.5,-0.26,207,1011,165,273,372,912,76.55
7631,0.09,0.07,0.98,-5.66,-4.37,-0.65,206,1011,162,269,366,913,76.32
7654,0,0.08,0.97,-7.12,-4.37,-0.46,206,1009,158,266,360,904,76.21
7677,0.08,0.08,0.98,-7.99,-4.23,-0.48,206,1006,156,263,353,902,76.44
7705,0.08,0.08,0.98,-9.37,-4.21,-0.23,205,1006,154,261,348,903,76.44
7728,0.08,0.08,0.99,-10.37,-4.06,0.06,205,1006,153,260,344,900,76.44
7751,0.08,0.09,0.98,-11.37,-3.89,0.72,205,1005,152,259,342,900,76.21
7775,0.09,0.1,0.97,-12.45,-3.79,1.32,205,1005,152,259,340,898,76.44
7798,0.11,0.11,0.96,-13.55,-3,1.83,205,1005,151,259,339,897,76.44
7821,0.11,0.12,0.96,-15.56,-2.5,2.12,205,1005,151,259,338,896,76.44
7844,0.11,0.13,0.97,-17.89,-1.64,2.55,204,1006,151,259,338,896,76.21
7872,0.09,0.13,0.97,-20.69,-0.56,3.15,205,1009,151,260,338,901,76.21
7896,0.08,0.13,0.97,-23.65,0.09,3.66,204,1008,152,261,340,900,76.55
7919,0.09,0.13,0.97,-26.77,0.47,4.15,205,1008,152,263,343,901,76.44
7942,0,0.12,0.97,-30.32,1.15,5.22,205,1011,154,265,346,902,76.32
7965,0.08,0.12,0.97,-34.2,1.83,6.45,205,1011,156,270,353,904,76.32
8000,0.06,0.1,0.97,-43.06,3.42,9.07,206,1012,160,278,365,906,76.21
8023,0.04,0,0.98,-46.76,3.43,10.79,207,1017,167,288,381,905,76.55
8051,0.03,0.09,0.96,-50.9,4.53,11.77,208,1023,179,305,409,910,76.55
8074,0,0,0.95,-56.46,5.11,13.81,209,1023,190,322,434,918,76.55
8098,0.02,0.02,0.95,-61.39,6.08,15.13,209,1023,204,340,461,914,76.32
8121,0,-0.05,0.96,-63.55,6.78,15.09,211,1023,225,360,498,922,76.32
8154,-0.01,-0.09,0.95,-63.7,7.65,15.66,213,1023,273,401,557,928,76.44
8177,0.02,-0.18,0.94,-63.3,7.14,15.23,214,1023,299,422,592,929,76.44
8201,0.04,-0.27,0.89,-61.5,8.63,9.57,215,1023,318,442,617,936,76.32
8227,0.08,-0.38,0.85,-58.75,10.69,3.95,216,1023,320,451,625,936,76.55
8250,0.07,-0.41,0.84,-56.06,12.92,5.24,216,1023,313,450,618,936,76.55
8273,0,-0.42,0.89,-52.75,12.83,10.88,216,1023,307,446,613,935,76.44
8296,-0.07,-0.46,0.89,-49.89,12.35,14.27,215,1023,304,445,610,936,76.32
8320,-0.15,-0.48,0.89,-47.65,12.29,11.52,215,1023,302,443,609,936,76.32
8343,-0.17,-0.43,0.89,-47.47,11.73,8.27,215,1023,301,441,608,937,76.44
8366,-0.15,-0.4,0.9,-47.08,10.45,9.39,215,1023,301,440,611,936,76.55
8394,-0.11,-0.41,0.89,-47.12,9.65,8.93,215,1023,305,441,616,934,76.55
8429,0,-0.42,0.87,-46.37,9.56,8.48,216,1023,317,447,630,936,76.44
8452,-0.05,-0.44,0.86,-45.15,9.7,9.99,216,1023,335,454,642,936,76.55
8475,-0.06,-0.47,0.87,-43.06,9.41,11.31,217,1023,358,464,653,939,76.44
8498,-0.09,-0.44,0.84,-41.08,9.57,11.79,217,1023,374,469,656,939,76.55
8533,-0.11,-0.44,0.83,-40.96,11.02,9.75,217,1023,373,471,654,939,76.55
8556,-0.14,-0.47,0.84,-41.56,11.69,7.41,217,1023,365,468,649,939,76.55
8579,-0.19,-0.5,0.83,-42.27,11.47,7.16,217,1023,354,464,641,938,76.44
8607,-0.2,-0.56,0.81,-42.09,10.2,7.03,217,1023,342,456,631,938,76.32
8630,-0.17,-0.56,0.81,-40.76,8.52,10.11,217,1023,336,452,627,938,76.44
8653,-0.17,-0.56,0.8,-39.27,7.42,12.26,217,1023,336,451,624,939,76.44
8677,-0.21,-0.51,0.81,-39.37,8.13,9.3,217,1023,342,454,630,938,76.55
